Step: 	Time: 	total_energy: 	total_potential: 	total_kinetic_energy: 	temperature: 
0	0.00ps	-25.820059558337	-39.221736025085	13.401676466748	120.000039726877
2	0.02ps	-25.813555651133	-38.999220880465	13.185665229331	118.065852079848
4	0.04ps	-25.816186994134	-38.691704691944	12.875517697810	115.288758020304
6	0.06ps	-25.815627970126	-38.477888084207	12.662260114081	113.379226881936
8	0.08ps	-25.808370533478	-38.377826878319	12.569456344840	112.548252039103
10	0.10ps	-25.823154845649	-38.608264684740	12.785109839091	114.479236415684
12	0.12ps	-25.815388916910	-38.626895912911	12.811506996001	114.715599372647
14	0.14ps	-25.814263983799	-38.559362697371	12.745098713572	114.120972532532
16	0.16ps	-25.817535862327	-38.623956825814	12.806420963487	114.670058495333
18	0.18ps	-25.823349429306	-38.738497293953	12.915147864647	115.643610758813
20	0.20ps	-25.814034277654	-38.525904696702	12.711870419049	113.823442841171
22	0.22ps	-25.805247607084	-38.483307462885	12.678059855801	113.520699453583
24	0.24ps	-25.821174546234	-38.791426076226	12.970251529992	116.137014852460
26	0.26ps	-25.811366984444	-38.683789445852	12.872422461408	115.261042943604
28	0.28ps	-25.816352097743	-38.694124333722	12.877772235980	115.308945395412
30	0.30ps	-25.816629730352	-38.707345539009	12.890715808657	115.424843524971
32	0.32ps	-25.813196907730	-38.614353061295	12.801156153566	114.622916826059
34	0.34ps	-25.820932678219	-38.585636841400	12.764704163182	114.296521818312
36	0.36ps	-25.817316931936	-38.624368967603	12.807052035667	114.675709182907
38	0.38ps	-25.819459899750	-38.719906420277	12.900446520528	115.511973356375
40	0.40ps	-25.816324870236	-38.622091068693	12.805766198457	114.664195659461
42	0.42ps	-25.812656309218	-38.461921660199	12.649265350981	113.262870387875
44	0.44ps	-25.813550136360	-38.610612675014	12.797062538655	114.586262161762
46	0.46ps	-25.830323867432	-38.934981916098	13.104658048666	117.340505148654
48	0.48ps	-25.801105895402	-38.606180596500	12.805074701099	114.658003918396
50	0.50ps	-25.817851372371	-38.669186771080	12.851335398709	115.072227136273
52	0.52ps	-25.816378733792	-38.765192415659	12.948813681868	115.945058075043
54	0.54ps	-25.815583062496	-38.848270496616	13.032687434119	116.696072593803
56	0.56ps	-25.806987005147	-38.863386163445	13.056399158299	116.908389899817
58	0.58ps	-25.813600120692	-38.934531643916	13.120931523224	117.486219574627
60	0.60ps	-25.820484295761	-38.816974668666	12.996490372905	116.371960249019
62	0.62ps	-25.806978640148	-38.449216210339	12.642237570191	113.199942889505
64	0.64ps	-25.822928234297	-38.654484110660	12.831555876363	114.895119184655
66	0.66ps	-25.823183116249	-38.740920604311	12.917737488061	115.666798522921
68	0.68ps	-25.808177589357	-38.568812917369	12.760635328012	114.260089034460
70	0.70ps	-25.826028644849	-38.835744249736	13.009715604887	116.490380386015
72	0.72ps	-25.817620263956	-38.710758658554	12.893138394599	115.446535617747
74	0.74ps	-25.809108517722	-38.471834267249	12.662725749528	113.383396231365
76	0.76ps	-25.813063063844	-38.677482723139	12.864419659295	115.189385000364
78	0.78ps	-25.828061218545	-38.966833351368	13.138772132824	117.645966294826
80	0.80ps	-25.812873297215	-38.728024573259	12.915151276045	115.643641304829
82	0.82ps	-25.813903266285	-38.545256441904	12.731353175618	113.997893520393
84	0.84ps	-25.817942251580	-38.482752713347	12.664810461767	113.402062966992
86	0.86ps	-25.815450972748	-38.606702549138	12.791251576390	114.534230186181
88	0.88ps	-25.822940167406	-38.836681429721	13.013741262316	116.526426551775
90	0.90ps	-25.816708386923	-38.701878438659	12.885170051736	115.375186226318
92	0.92ps	-25.816383754727	-38.688026982006	12.871643227279	115.254065598145
94	0.94ps	-25.827292346300	-38.829146820710	13.001854474410	116.419990985718
96	0.96ps	-25.809008946236	-38.685014235360	12.876005289124	115.293123964904
98	0.98ps	-25.819651507613	-38.865525874891	13.045874367278	116.814149799054
100	1.00ps	-25.814730186759	-38.879029092915	13.064298906156	116.979125084259
